tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,Dengue
33,26,29.5,39.3,26,34,24.2,73.7,0
33,27,29.9,39.9,30.6,35.5,24.9,75.5,1
35,27,30.1,40.6,30.6,35.7,24.7,74,0
34,27,29.9,40.6,30.6,35.4,24.7,74.5,0
32,27,29.8,39.7,30.6,35.2,24.7,74.9,0
32.1,27,29.2,38.9,30.6,34.6,24.8,77.7,0
33,26,29.7,40.6,26,35.1,24.8,75.6,1
33,27,30.2,40.6,30.6,36.2,24.9,73.9,0
34,27,30.2,42,30.6,36.2,24.9,74.3,0
33,26,29.2,40.6,26,34.7,25.6,81.9,0
30,24.7,27.1,37.4,24.7,30.4,25,88.3,1
28,24,25.8,32.7,24,26.8,24.9,94.9,1
31,24.7,27.7,37.7,24.7,31.3,25.1,86.4,0
31,25,27.4,37.7,25,30.7,25.3,88.9,1
30,25,27,36.2,25,29.8,25.5,91.5,0
28,25,26.1,32.7,25,27.4,25,93.7,1
27,24,25.5,30.6,24,26.1,24.4,93.5,1
32,25,28.2,37.9,25,31.9,24.6,81.7,0
30,25,27.3,36.2,25,30.6,24.7,86.2,1
30.1,26.7,28.2,37.4,29.9,33.2,25.1,83.3,0
31,24,27.6,39.1,24,31.3,25.1,86.4,0
32,26,28.8,40.6,26,33.4,25.1,81,0
31,25,28.1,38.8,25,32.6,25.4,85.8,0
28,24,25.9,33.6,24,27.2,25.1,95.2,0
30.1,25,27.3,35.9,25,30.4,24.7,86.3,0
27.7,25,26,33.7,25,27.4,25.4,96.2,1
28,25,25.9,34.6,25,27.2,25.2,95.9,1
30,25,27.2,37.3,25,30.6,25.7,91.8,0
29.4,25.8,27.6,37.6,25.8,32.6,26.2,92.3,1
30,26,28.4,39.9,26,34.6,26.3,88.9,0
30.1,25,28,39,25,33,26.1,89.5,1
30,28,29.3,38.8,34.6,37.3,26.9,86.9,1
29.3,26,28.4,37.9,26,34.7,26.6,90.3,1
31.6,27.5,29.1,41.3,31.6,36.2,26.3,84.9,0
29,26,27.4,35.6,26,31.5,26,92.3,1
31.3,27,29.1,41.7,29.7,36.7,26.6,86.4,0
32.3,26,29.1,43.3,26,35.6,26.4,85.8,1
30.1,27.3,28.7,37.9,31.9,35.5,26.4,87.1,1
31,27.9,29.2,40.6,33.5,36.1,26.2,83.9,0
31.3,28.5,29.7,41.1,34.4,37.1,26.1,81.2,1
30.3,27.9,29.1,38.8,33.6,35.9,26.1,84.2,0
31.8,28,29.6,40.6,33.2,36.4,25.8,80.4,1
32,28,29.8,40.6,32.7,36.6,25.7,79.2,1
32.5,27.9,30.1,40.6,33.2,37.1,25.7,77.3,0
31.7,26.9,29,40.1,30.4,35.5,26,84.1,0
32,26.9,29.3,41.2,30.8,36,26.1,83.2,1
33.3,26,29.6,43.8,26,35.9,26,81.6,0
31.3,27.7,29.4,41.1,32,36.4,26,82.1,0
29,26,26.9,36.9,26,29.7,25.8,93.6,0
30,26,27.8,37.8,26,32.5,25.8,89.3,0
30.9,26,28,39,26,32.6,25.8,88.2,1
29.7,25.7,27.8,37.8,25.7,32.6,25.6,87.7,0
30,27,28.8,37.7,30.4,34.9,25.8,83.7,0
29,26.3,28.1,35.6,26.3,33.3,25.7,86.7,0
28.7,24,26.9,34.6,24,30,25.3,91.4,0
29,26.7,28,35.6,29.9,33,25.4,86.2,0
30.9,27,28.5,38.4,30.6,34.1,25.6,84.5,0
28.7,25,26.9,34.6,25,29.8,25.2,90.3,0
28,25,26.5,33.6,25,28.7,25.2,92.8,0
28,24.9,27,34.6,24.9,30,25.8,93.4,0
29,26,28,35.6,26,33.2,25.9,88.5,0
29,25.7,27.9,35.8,25.7,33.1,25.8,88.1,0
29,27,28.1,35.6,30.6,33.5,25.8,87.3,0
29,27.9,28.2,35.6,32.7,33.9,25.8,87,0
29,27.8,28.1,35.6,32.8,33.6,25.8,87.3,0
29.3,28,28.4,36.2,32.5,33.9,25.5,83.9,0
30.3,27.3,28.6,37.5,30.9,34,25.3,82.6,0
30.7,27.3,28.6,39,31.3,34.4,25.6,83.5,0
30.3,27,28.3,37.9,30.6,33.9,25.7,85.6,1
29.7,27,28.3,36.9,30.6,33.8,25.6,85.7,1
30,26.7,28.2,37.4,29.9,33.5,25.5,85.2,0
30.4,26,28.3,37.6,26,33.3,25.3,84.3,1
30.7,26.8,28.6,37.9,30,33.7,25,80.8,1
30.7,26,28.6,37.3,26,33.5,24.9,80.6,1
30.3,27.1,28.7,37.3,30.7,33.9,25,80.3,0
31.1,27.2,29.1,37.2,30.6,34.1,24.4,76.2,0
31.1,26,28.9,38.1,26,34,24.8,79,0
31.5,26.3,29,37.4,26.3,33.9,24.6,77.6,0
31.3,26.2,29.1,38.2,26.2,34.1,24.7,77.5,1
31,27,28.7,36.6,30.1,33.4,24.4,77.5,1
30.3,26,28.1,36.1,26,32,24.2,79.6,1
31.3,25.8,28.5,37,25.8,32.2,24.2,78.4,0
31,27,28.7,36.9,30.1,33.2,24.1,76.3,1
31.3,26,28.7,37.6,26,33.3,24.7,79.4,1
32.4,26.8,29.1,40.1,30.1,35,25.5,81.4,0
30,26.5,28.2,37.8,26.5,33.3,25.6,86.4,0
29.3,26.9,28.1,35.9,30.3,33.2,25.5,86.4,0
28,25.5,26.9,33.6,25.5,29.8,24.9,88.8,0
31.3,26.8,28.4,38.9,30.1,33.6,25.4,84,1
28.7,25,26.5,35,25,28.5,25.3,93.4,0
26.7,24,25.8,29.9,24,26.2,24.9,94.8,1
28.7,26.1,27.1,35,26.1,30.8,25.8,92.7,0
29,26,27.2,35.9,26,30.5,25.5,90.8,0
29,25.7,26.9,35.2,25.7,29.5,25.4,91.9,0
28.6,25,26.6,34.5,25,29,25.6,94,0
28.4,25.6,27.2,34.3,25.6,31,25.6,91.2,0
31.3,26.2,27.9,39.7,26.2,32.5,25.5,87.2,0
29.3,25.8,27.2,36.2,25.8,30.1,25.1,88.8,1
29,26,27.4,35.6,26,31.4,25.5,89.4,0
29,24.4,27.3,35.9,24.4,31.2,25.4,89.8,1
30.2,26.5,28.4,38.4,26.5,34.1,26,87.2,0
29.4,24.7,26.5,34.1,24.7,28.5,24.5,88.7,0
29,26.9,27.9,35.6,30.4,32.9,25.7,87.9,0
29.1,26,27.6,35.7,26,31.5,25.6,88.7,1
30.4,24.8,27.4,38.8,24.8,31.1,25.8,91.4,1
30.7,25,27.3,37.6,25,30.2,25,87.9,1
29,25,26.9,35.6,25,29.7,25.3,91.1,1
31.5,26,28.4,38.3,26,32.2,24.3,78.9,0
32.4,26.6,28.6,39.2,26.6,32.9,24.3,78.2,0
32,26.3,28.9,39.6,26.3,33.9,25,80.1,0
31,27.2,29,39.1,31,34.6,25.3,81,0
30,24.3,27.5,37.4,24.3,32,25.7,90,1
32,26,28.1,40.5,26,32.3,25.2,84.8,0
30.9,24.5,27.3,37.5,24.5,30.2,24.4,84.4,1
30.6,25,27.8,36.9,25,31.1,24.4,82.1,0
31.1,26.5,28.6,38.1,26.5,33.2,24.7,80.2,1
30.7,26.4,28.2,37.7,26.4,32.8,25.2,84.2,0
31.3,27,29,38.1,30.5,34.3,24.9,78.8,0
31.5,26.5,28.9,37.7,26.5,33.6,24.6,78.5,1
31.3,26.2,29.1,39.9,26.2,34.5,25.1,79.4,0
32,27,29.1,40.6,29.9,34.6,25,79,0
32,26,28.6,40.6,26,32.3,23.9,75.9,0
33,25,29,39.1,25,32.8,23.7,73.9,1
33,26.4,30,42.1,26.4,36.1,25.1,75.3,0
33.3,25,29.9,42.5,25,35.9,25.1,75.9,1
32.5,25.5,28.3,39.6,25.5,31.2,23.6,76.4,1
33.7,25.4,29.1,40.2,25.4,33.3,24.2,75.4,0
33,24.9,29.4,38,24.9,33.1,23.3,70.6,0
34,26,29.2,41.2,26,33.4,24,74.5,0
35,25.5,29.9,40.8,25.5,34.1,23.5,69.5,1
35.3,27.3,31.2,42,31.2,36.6,24,66.9,0
36,26.7,31.7,39.4,27.8,34.2,20.3,52.1,1
35.3,27,31.3,39.5,27.9,33.4,19.6,50.8,0
35,26.7,31,39.3,27.8,34,20.9,55.7,0
31,26.2,28.6,35.7,26.2,31.4,22.1,68.2,0
27.3,24.8,26.1,30.3,24.8,26.8,23.4,84.9,0
27.4,24.6,25.7,30.7,24.6,26.3,23,85.4,1
32,24.6,27.9,36.8,24.6,30.5,23.3,77,0
31,24.9,27.5,37.3,24.9,30.2,24.1,82.5,0
29,24.8,26.6,33,24.8,28.7,24.2,86.7,0
31,25.4,27.6,36.5,25.4,30,24.2,82.7,0
30,24.9,27.6,34.4,24.9,29.8,23,76.7,1
29.8,25.6,27.8,33.6,25.6,30.2,22.8,74.9,0
32.3,24.4,28.5,35.9,24.4,31.2,23.3,75,0
32.7,26.4,29.3,36.3,26.4,32.5,22.6,68.5,0
33,26.3,29.8,40.5,26.3,34.5,23.9,71.1,0
35.1,26.8,30.6,42.9,29.1,35.1,23.3,65.9,1
34,26.3,30.2,38.1,26.3,33.1,21.5,60.4,0
